title,genres,cast,director,overview
The Super Mario Galaxy Movie,Family Comedy Adventure Fantasy Animation,Chris Pratt Charlie Day Anya Taylor-Joy,Michael Jelenic,"Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade."
Your Heart Will Be Broken,Romance Drama,Daniel Vegas Veronika Zhuravleva Ivan Trushin,Mikhail Vaynberg,"High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers."
Avatar: Fire and Ash,Science Fiction Adventure Fantasy,Sam Worthington Zoe Saldaña Sigourney Weaver,James Cameron,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits."
Project Hail Mary,Science Fiction Adventure,Ryan Gosling Sandra Hüller James Ortiz,Phil Lord,"Science teacher Ryland Grace wakes up on a spaceship light years from home with no recollection of who he is or how he got there. As his memory returns, he begins to uncover his mission: solve the riddle of the mysterious substance causing the sun to die out. He must call on his scientific knowledge and unorthodox ideas to save everything on Earth from extinction… but an unexpected friendship means he may not have to do it alone."
"Avatar: Aang, The Last Airbender",Animation Action Adventure Fantasy,Eric Nam Dave Bautista Jessica Matten,Lauren Montgomery,"Avatar Aang, the world's last Airbender, learns of an ancient power that could save his culture from extinction. With the help of his friends, he embarks on a global quest to find it before it falls into the wrong hands and threatens to upend the peace they sacrificed everything to achieve."
The Mortuary Assistant,Horror Mystery,Willa Holland Paul Sparks John Adams,Jeremiah Kipp,"Rebecca Owens, a recent mortuary science graduate takes a night shift job at River Fields Mortuary. Initially, the job seems straightforward — embalming bodies, completing paperwork, and keeping things tidy. But once Rebecca starts working the night shift, things take a dark turn."
Hoppers,Animation Family Science Fiction Comedy Adventure,Piper Curda Bobby Moynihan Jon Hamm,Daniel Chong,"Scientists have discovered how to 'hop' human consciousness into lifelike robotic animals, allowing people to communicate with animals as animals. Animal lover Mabel seizes an opportunity to use the technology, uncovering mysteries within the animal world beyond anything she could have imagined."
Thrash,Horror Thriller,Phoebe Dynevor Whitney Peak Djimon Hounsou,Tommy Wirkola,"When a Category 5 hurricane decimates a coastal town, the storm surge brings devastation, chaos, and something far more frightening onto shore: hungry sharks."
Sex with Love,Comedy Romance,Álvaro Rudolphy Sigrid Alegría Patricio Contreras,Boris Quercia,"In Santiago, Chile, the schoolteacher Luisa proposes a debate about sex with the parents of her students with the intention of giving classes about sex education to the youngsters."
Balls Up,Comedy Action Adventure,Mark Wahlberg Paul Walter Hauser Sacha Baron Cohen,Peter Farrelly,"Two marketing executives go ""balls out"" and pitch a bold full‑coverage condom sponsorship with the World Cup. After their drunken celebration in Brazil sparks a global scandal, they must outrun furious fans, criminals, and power-hungry officials to salvage their careers and make it home alive."
Shelter,Action Crime Thriller,Jason Statham Bodhi Rae Breathnach Naomi Ackie,Ric Roman Waugh,"A man living in self-imposed exile on a remote island rescues a young girl from a violent storm, setting off a chain of events that forces him out of seclusion to protect her from enemies tied to his past."
Greenland 2: Migration,Adventure Thriller Science Fiction,Gerard Butler Morena Baccarin Roman Griffin Davis,Ric Roman Waugh,"Having found the safety of the Greenland bunker after the comet Clarke decimated the Earth, the Garrity family must now risk everything to embark on a perilous journey across the wasteland of Europe to find a new home."
Send Help,Horror Thriller Comedy,Rachel McAdams Dylan O'Brien Edyll Ismail,Sam Raimi,"Two colleagues become stranded on a deserted island, the only survivors of a plane crash. On the island, they must overcome past grievances and work together to survive, but ultimately, it's a battle of wills and wits to make it out alive."
The Super Mario Bros. Movie,Family Comedy Adventure Fantasy Animation,Chris Pratt Anya Taylor-Joy Charlie Day,Aaron Horvath,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi."
Sniper: No Nation,Action Thriller,Chad Michael Collins Ryan Robbins Manuel Rodriguez-Saenz,Trevor Calverley,Brandon Beckett and Agent Zero lead a rescue mission in Venezuela when their friends are taken hostage.
Crime 101,Crime Thriller,Chris Hemsworth Mark Ruffalo Halle Berry,Bart Layton,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher."
Lee Cronin's The Mummy,Horror Mystery,Jack Reynor Laia Costa May Calamawy,Lee Cronin,"The young daughter of a journalist disappears into the desert without a trace—eight years later, the broken family is shocked when she is returned to them, as what should be a joyful reunion turns into a living nightmare."
GOAT,Animation Comedy Family,Caleb McLaughlin Gabrielle Union Stephen Curry,Tyree Dillihay,"A small goat with big dreams gets a once-in-a-lifetime shot to join the pros and play roarball, a high-intensity, co-ed, full-contact sport dominated by the fastest, fiercest animals in the world."
Scream 7,Horror Mystery Crime,Neve Campbell Courteney Cox Isabel May,Kevin Williamson,"When a new Ghostface killer emerges in the quiet town where Sidney Prescott has built a new life, her darkest fears are realized as her daughter becomes the next target. Determined to protect her family, Sidney must face the horrors of her past to put an end to the bloodshed once and for all."
Demon Slayer: Kimetsu no Yaiba Infinity Castle,Animation Action Fantasy,Natsuki Hanae Takahiro Sakurai Akira Ishida,Haruo Sotozaki,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins."
The Strangers: Chapter 3,Horror Thriller,Madelaine Petsch Richard Brake Ema Horvath,Renny Harlin,"Tethered by a frightening conclusion, Maya and the Strangers are locked on an unavoidable, unforgiving collision course — a showdown that proves they’re far from strangers now."
undertone,Horror Mystery,Nina Kiri Adam DiMarco Michèle Duquet,Ian Tuason,The host of a popular paranormal podcast becomes haunted by terrifying recordings mysteriously sent her way.
The Yeti,Horror Thriller,Brittany Allen Eric Nelsen Corbin Bernsen,Gene Gallerano,"When an oil tycoon and a famous adventurer vanish into the harsh winter of remote northern Alaska, a hand-picked rescue team endeavors to bring them home. What they don’t know is that they are trespassing on The Yeti’s territory, and the elements are the least of their worries."
War Machine,Action Science Fiction Thriller,Alan Ritchson Dennis Quaid Stephan James,Patrick Hughes,"On one last grueling mission during Army Ranger training, a combat engineer must lead his unit in a fight against a giant otherworldly killing machine."
Zootopia 2,Animation Family Mystery Adventure Comedy,Ginnifer Goodwin Jason Bateman Ke Huy Quan,Jared Bush,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before."
Mudborn,Horror Thriller,Tony Yang Cecilia Choi Derek Chang,Shieh Meng-ju,"Hsu-Chuan, who works at a game company, accidentally brings home a broken clay doll from a haunted house while developing a new horror VR game. Unexpectedly, his pregnant wife, Mu-Hua, a cultural relic restorer, develops an obsession with the doll and relentlessly tries to repair it. As strange things begin to happen in the house, Mu-Hua's condition deteriorates, and Hsu-Chuan, at his wits' end, seeks help from a spiritual medium, Ah-Sheng. Meanwhile, the horrifying secret hidden behind the clay doll begins to surface."
Outcome,Comedy Drama,Keanu Reeves Jonah Hill Cameron Diaz,Jonah Hill,"Reef Hawk, Hollywood's poster child since age six, is not okay. When he learns about an extortion plot tied to a mysterious video, Reef preemptively sets out on a redemption tour to make amends, confront his demons, and avoid getting canceled."
The Unknown Man,Drama,Geert Van Rampelberg Samuel Suchod Anna Sacuto,Anthony Schatteman,"Louis, a Flemish writer, decides to isolate himself at the Côte d’Azur, hoping this place will bring him inspiration."
The Housemaid,Mystery Thriller,Sydney Sweeney Amanda Seyfried Brandon Sklenar,Paul Feig,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power."
